seri;model;titles;year;km;color;prices;date;location
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;_stanbul Ba_cılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;_stanbul Ba_cılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;_stanbul Ba_cılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;_stanbul Ba_cılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;_stanbul Ba_cılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;_stanbul Ba_cılar
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;_stanbul Ba_cılar
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;_stanbul Ba_cılar
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;08Mart2023;_stanbul Ba_cılar
