seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
Taycan,4S Performance Plus,cars of FERRO PORSCHE TAYCAN 4S PERFORMANCE PLUS HEAD-UP 571HP,2020,1000,Füme,5544000,06/04/2023,,İstanbul,Beşiktaş,40,260.0,3.8461538461538463
Panamera,Panamera Diesel,"KAZASI YOK, DEĞİŞENİ BOYASI YOK,TRAMER KAYDI YOK, ORJİNAL...",2013,1560,Siyah,3199000,06/04/2023,,Bursa,Nilüfer,21,1685.0,0.9258160237388724
Panamera,Panamera Diesel,Sıfırdan tek farkı model yılı,2012,2700,Beyaz,2650000,06/04/2023,,Bursa,Gemlik,21,1970.0,1.3705583756345177
911,Carrera 4S,2007 MODEL DOĞUŞ ÇIKIŞLI CHORONO SAAT BOSE SES SİTEMİ BAKIMLI,2007,1410,Gri,2325000,05/04/2023,,Ankara,Akyurt,7,1300.0,1.0846153846153845
Panamera,Panamera S,2010 PORSCHE PANAMERA S BAYİİ PDK HATASIZ 142.000 KM VADE OLUR,2010,1420,Beyaz,3050000,05/04/2023,,İstanbul,Bağcılar,40,1420.0,1.0
Taycan,Turbo,ZENO MOTORS 2020 PORSCHE TAYCAN TURBO ÖZEL KARMİN KIRMIZI,2020,175,Kırmızı,5950000,05/04/2023,,İstanbul,Küçükçekmece,40,260.0,0.6730769230769231
Panamera,Panamera 4 Platinum Edition,EKİNCİLER'DEN BAYİ 2023 PANAMERA 4 PLATİNUM EDİTİON+AİRMATİC+FUL,2022,62,Siyah,14950000,05/04/2023,,İstanbul,Bağcılar,40,1001.0,0.061938061938061936
911,Turbo,GALLERİA-2016 PORSCHE 911 TURBO-BOSE-HA­TASIZ-CARBON DİREKSİYON,2016,10262,Siyah,9850000,05/04/2023,,İstanbul,Şişli,40,700.0,14.66
Panamera,Panamera 4,MGS AUTO 2011 PORSCHE PANAMERA 4 ISITMA&SOGUTMA AIRMATIC BOSE,2011,13798,Beyaz,2890000,05/04/2023,,İstanbul,Avcılar,40,1680.0,8.213095238095239
Panamera,Panamera Diesel,2014 MAKYAJLI PORSCHE PANAMERA BAYİ ÇIKIŞLI 96 BİN KM,2014,960,Beyaz,4290000,05/04/2023,,Ankara,Çankaya,7,1420.0,0.676056338028169
911,Carrera 4S,EA MOTORS 2012 19 BİNKM CARRERA 4S SOGUTMA BOSE KEYLESS SPOR EGZ,2012,190,Beyaz,6100000,05/04/2023,,İstanbul,Bakırköy,40,1970.0,0.09644670050761421
Panamera,Panamera 4S,CABİR'DEN 2018 PORSCHE PANAMERA 4S 2.9 44.000KM'DE HATASIZ,2018,440,Siyah,8400000,05/04/2023,,İstanbul,Bahçelievler,40,490.0,0.8979591836734694
Panamera,Panamera Diesel,2014 ÇIKIŞLI MAKYAJLI YENİ KASA PANAMERA BAYİİ,2013,2200,Beyaz,3500000,05/04/2023,,İstanbul,Bağcılar,40,1685.0,1.3056379821958457
Panamera,Panamera Diesel,TAV MOTORS'DAN TR TEK 2013 PLATİNUM CHORONE BOYASIZ İÇi KIRMIZI,2013,1340,Beyaz,4099000,05/04/2023,,İstanbul,Gaziosmanpaşa,40,1685.0,0.7952522255192879
911,Carrera 4S,^ÇAPOĞLU^ ---Carrera 4 S---,2007,1300,Siyah,2640000,05/04/2023,,İstanbul,Esenyurt,40,1300.0,1.0
Panamera,Panamera Diesel,ONR'DEN 2012 MODEL PORSCHE PANAMERA DİESEL,2012,1640,Beyaz,3200000,05/04/2023,,Düzce,Merkez,27,1970.0,0.8324873096446701
Taycan,4S Performance Plus,ONR'DEN 2021 PORSCHE TAYCAN 4S 22KW PERFORMANCE PLUS,2021,6001,Beyaz,6750000,05/04/2023,,Düzce,Merkez,27,180.0,33.33888888888889
Panamera,Panamera 4,İSMAİL ALTIN:2011 PANAMERA 4 4K ISITMA-SOĞT­MA-AİRMATİC BARIŞLI,2011,1380,Beyaz,2890000,05/04/2023,,İstanbul,Esenyurt,40,1680.0,0.8214285714285714
Panamera,Panamera 4S Diesel,DOĞUŞ ÇIKIŞLI SAHİBİNDEN,2017,1290,Siyah,9200000,05/04/2023,,İstanbul,Pendik,40,850.0,1.5176470588235293
Panamera,Panamera 4S,INTERCITY2 PORSCHE Panamera 2.9 4S Executive PDK,2016,6225,Siyah,9900000,05/04/2023,,İstanbul,Tuzla,40,700.0,8.892857142857142
Taycan,Turbo S,2020 PORSCHE TAYCAN TURBO S SERAMİK-BURMESTER,2020,61,Gri,6500000,05/04/2023,,Ankara,Çankaya,7,260.0,0.23461538461538461
Taycan,4S Performance Plus,ERFA PREMIUM 2020 TAYCAN ARKAKS-INNODRIVE-­ISTMA-SGTMA-YLCU EKRAN,2020,90,Füme,5050000,05/04/2023,,İstanbul,Ataşehir,40,260.0,0.34615384615384615
Boxster,Boxster,SAHİBİNDEN 2008 BOXSTER CHRONO PAKET ÖZEL İÇ RENK,2008,1090,Siyah,1525000,05/04/2023,,Balıkesir,Ayvalık,12,1350.0,0.8074074074074075
Taycan,Turbo S,İLK SAHİBİNDEN 3280 KM HATASIZ TAYCAN TURBO S (ÖZEL RENK),2020,328,Yeşil,7000000,05/04/2023,,İstanbul,Beşiktaş,40,260.0,1.2615384615384615
Panamera,Panamera Diesel,Yavuz Otodan 2013 Boss Pusula Isıtma Bayi Çık Vakum 170.000 km,2013,1750,Beyaz,3465000,05/04/2023,,Balıkesir,Karesi,12,1685.0,1.0385756676557865
Panamera,Panamera 4S Diesel,2016 HATASIZ/BOYASIZ/ HASAR KAYITSIZ SERVİS BAKIMLI 119 BİN KM,2016,1190,Siyah,8650000,05/04/2023,,Ankara,Akyurt,7,700.0,1.7
Taycan,4S Performance Plus,ETİLERMOTORS-TAYCAN 4S-PERF.PLUS-BU­RMESTER-SOĞUTM­A-CHRONO-BOYASZ,2021,126,Gri,5690000,05/04/2023,,İstanbul,Beşiktaş,40,180.0,0.7
Panamera,Panamera Diesel,2012 MODEL MASRAFSIZ DİZEL MARSALA PANAMERA,2012,2440,Beyaz,2525000,05/04/2023,,İzmir,Buca,41,1970.0,1.2385786802030456
Panamera,Panamera 4,DECIDER'DAN BAYİ 2011 PORSCHE PANAMERA 4 45.000 KM,2011,450,Siyah,3685000,05/04/2023,,İstanbul,Sarıyer,40,1680.0,0.26785714285714285
Taycan,Turbo S,SS MOTORS 2020 PORSCHE TAYCAN TURBO S-YOLCU EKRANI-DISTRONIC-360,2020,12732,Beyaz,6225000,05/04/2023,,İstanbul,Şişli,40,260.0,48.96923076923077
Panamera,Panamera 4 Sport Turismo,SS MOTORS BAYİ 2019 PANAMERA4 SPORT TURISMO-MASAJ-­SOĞUTMA-%18KDV,2019,625,Füme,8750000,05/04/2023,,İstanbul,Şişli,40,320.0,1.953125
Panamera,Panamera Turbo S,SS MOTORS 2011 PANAMERA TURBOS-MANSORY-SERAM İK-DISTRONC-36.952KM,2011,36952,Siyah,5500000,05/04/2023,,İstanbul,Şişli,40,1680.0,21.995238095238093
718,Boxster,HANCAR MOTORS -718 BOXSTER-20'J­ANT-ADAPTİF FAR-NAVİGSY­ON-ORJİNAL,2016,485,Mavi,3990000,05/04/2023,,İstanbul,Bahçelievler,40,700.0,0.6928571428571428
Panamera,Panamera 4S,EVRENSEL MOTORS// 2012 PORSCHE PANAMERA 4S CHRONO // 140.000KM,2012,1400,Lacivert,3950000,05/04/2023,,Ankara,Gölbaşı,7,1970.0,0.7106598984771574
Cayman,Cayman,ETİLERMOTORS-BAYİ CAYMAN-ISITMA-SES SİSTEMİ-PARKSENSÖRÜ,2007,1100,Gri,1550000,05/04/2023,,İstanbul,Beşiktaş,40,1300.0,0.8461538461538461
Taycan,4S Performance Plus,"2022 Porsche Taycan 4S Performance Plus 571 Ps Bayi
Yetkili Bayi",2022,642,Gri,6990000,05/04/2023,,Aydın,Söke,11,1001.0,0.6413586413586414
Panamera,Panamera Diesel,AUTO BAYRAM'DAN PORSCHE PANEMARA 300 HP TAM ÖTV HATASIZ 2012,2012,1850,Siyah,3500000,05/04/2023,,Konya,Karatay,53,1970.0,0.9390862944162437
Taycan,Turbo S,2020PORSCHE TAYCAN TURBO S,2020,250,Gri,8000000,05/04/2023,,İstanbul,Pendik,40,260.0,0.9615384615384616
Taycan,4S Performance Plus,Sahibinden 2021 4S P+ Bayi 3 Yıl Garanti Hatasız,2021,695,Gümüş Gri,5850000,05/04/2023,,İstanbul,Kadıköy,40,180.0,3.861111111111111
911,Carrera S,ER OTO 2012 PORSCHE 911 CARRERA S CABRİO VERGİ BARIŞLI,2012,1013,Beyaz,6150000,05/04/2023,,İstanbul,Üsküdar,40,1970.0,0.5142131979695431
Panamera,Panamera 4S,GARAGE BURSA PORSCHE PANAMERA 4S SPORT DİZAYN+PDK+SPOR EGSOZ,2020,225,Beyaz,10400000,05/04/2023,,Bursa,Nilüfer,21,260.0,0.8653846153846154
Taycan,Turbo,DOGUS CIKISLI TAYCAN TURBO LACIVERT ICI KIRMIZI HATASIZ,2021,145,Lacivert,6750000,04/04/2023,,Ankara,Çankaya,7,180.0,0.8055555555555556
Taycan,Turbo S,ALKAN AŞ 2021 TAYCAN TURBO S-BURMESTER-YOLCU EKRANI-ARKA AKS-FUL,2021,695,Füme,7950000,04/04/2023,,Ankara,Gölbaşı,7,180.0,3.861111111111111
Panamera,Panamera S,İNTİKAL MOTORS' 2010 PORSCHE PANAMERA S BAYİ ÇIKIŞLI...,2010,1350,Beyaz,3350000,04/04/2023,,İstanbul,Bağcılar,40,1420.0,0.9507042253521126
911,Carrera 4,"NASYONEL BAYİ 4WD BOSE 20""JANT ISITMA SUNROOF CHRONO PADDLESHIFT",2008,80501,Siyah,3295000,04/04/2023,,İstanbul,Beşiktaş,40,1350.0,59.63037037037037
Panamera,Panamera Diesel,HATASIZ 2012 PORSHE PANERAMA TAM ÖTV,2012,2600,Beyaz,2660000,04/04/2023,,Hatay,Antakya,37,1970.0,1.3197969543147208
Taycan,Turbo,"DOKTORDAN, İLK SAHİBİNDEN, HATASIZ,BAYİ ÇIKIŞLI, DOLU + TURBO...",2021,160,Gümüş Gri,7750000,04/04/2023,,Bursa,Nilüfer,21,180.0,0.8888888888888888
911,Turbo,SS MOTORS 2010 PORSCHE 911 TURBO-CHRONO-SOĞ­UTMA-BOSE-57.469 KM,2010,57469,Gri,6350000,04/04/2023,,İstanbul,Şişli,40,1420.0,40.47112676056338
Panamera,Panamera 4,BAYİ/ÖZEL RENK/BOSE/TUBİ/C­HRONO/MARSHALA-B­EJ/VAKUM/ELK.BGJ,2011,1780,Bordo,3000000,04/04/2023,,İstanbul,Başakşehir,40,1680.0,1.0595238095238095
Panamera,Panamera Diesel,GÖKTAŞ AUTO 2012 MODEL PORSCHE PANAMERA GTS TAMPON-ISITMA-AİR,2012,1600,Gri,2675000,04/04/2023,,İzmir,Bornova,41,1970.0,0.8121827411167513
Panamera,Panamera 4,"""BEKERECi'den Panamera 4, Multimedia, Carbon, iÇi Bej, 300Hp...",2011,1650,Siyah,2200000,04/04/2023,,Gaziantep,Şehitkamil,33,1680.0,0.9821428571428571
Taycan,4S Performance Plus,Venisa'dan TAYCAN 4S PERFORMANCE PLUS Sport Chrono+Arka Aks,2020,165,Beyaz,4935000,04/04/2023,,İstanbul,Ataşehir,40,260.0,0.6346153846153846
Taycan,Turbo S,YENİKÖY MOTORS 2020 PORSCHE TAYCAN TURBO S- KARBON - BOSE - BAYİ,2020,80,Siyah,8450000,04/04/2023,,İstanbul,Sarıyer,40,260.0,0.3076923076923077
Panamera,Panamera 4,KUPON AUTO'dan HATASIZ/BOYASIZ /TRAMERSİZ/BAYİİ /MARSHALA/VAKUM,2011,1589,Beyaz,3000000,04/04/2023,,Kastamonu,Merkez,46,1680.0,0.9458333333333333
Panamera,Panamera Diesel,2014_LED MATRIX_AIRMATIC_CRO­NO_BOSE_CARBON_RED EDITION_300 HP,2014,1440,Siyah,4037500,04/04/2023,,İstanbul,Üsküdar,40,1420.0,1.0140845070422535
Panamera,Panamera Diesel,2012 MODEL PORCSHE PANAMERA TAM DOLU,2012,2590,Beyaz,2725000,04/04/2023,,Ankara,Akyurt,7,1970.0,1.3147208121827412
Panamera,Panamera Diesel,AKTAR'AUTO' 2012 PORSCHE PANAMERA KOLTUK ISITMA+SOĞU­TMA+PUSULA,2012,1980,Siyah,2900000,04/04/2023,,İstanbul,Esenyurt,40,1970.0,1.0050761421319796
Taycan,4S Performance Plus,2020 MODEL HATASIZ TAYCAN 4S PERFORMANCE PLUS 5000 KM DE,2020,50,Beyaz,4995000,04/04/2023,,Antalya,Aksu,8,260.0,0.19230769230769232
Panamera,Panamera Diesel,GTS KEYLESS SOĞUTMA CHRONO TV AIR PUSULA V. BARIŞ TAKSİT İMKANI,2012,3300,Beyaz,2440000,04/04/2023,,İzmir,Gaziemir,41,1970.0,1.6751269035532994
Taycan,4S Performance Plus,KMR MOTORS 2022 PORSCHE TAYCAN 4S PERFORMANCE PLS BOSE SGTM BAYİ,2022,90,Gümüş Gri,6995000,04/04/2023,,İstanbul,Bağcılar,40,1001.0,0.0899100899100899
Panamera,Panamera 4,TR TEK LAFTA DEĞİL,2011,1550,Beyaz,2875000,04/04/2023,,Gaziantep,Şehitkamil,33,1680.0,0.9226190476190477
911,Turbo,TK motors - 2002 PORSCHE 911 TURBO (996/2),2002,1065,Siyah,4250000,04/04/2023,,İstanbul,Bahçelievler,40,918.0,1.1601307189542485
911,Carrera 4,TK motors- 1997 PORSCHE 911 CABRİO CARRERA 4 (993/2),1997,240,Gümüş Gri,10050000,04/04/2023,,İstanbul,Bahçelievler,40,910.0,0.26373626373626374
718,Boxster,BAYİİ/LACİVERT TENTE/2018 718 BOXSTER CABRİO/ISITMA/12.000 KM,2018,120,Gri,4375000,04/04/2023,,İstanbul,Bağcılar,40,490.0,0.24489795918367346
Panamera,Panamera 4S,VEGA' 2013 PANAMERA 4S 420HP BOYASZ 75.000KM MAKYAJLI-BAYİ-FULL+,2013,750,Siyah,4950000,04/04/2023,,İstanbul,Avcılar,40,1685.0,0.44510385756676557
Panamera,Panamera 4S,VİENNA MOTORS'DAN HATASIZ BAYİ FACELİFT 4S VAKUM SOĞUTMA ISITMA,2012,1650,Beyaz,3850000,04/04/2023,,İzmir,Güzelbahçe,41,1970.0,0.8375634517766497
Taycan,4S Performance Plus,BAYİ 2023 ÇIKIŞLI PORSCHE TAYCAN 4S PERFORMANCE PLUS,2022,6001,Siyah,7100000,04/04/2023,,Mardin,Artuklu,57,1001.0,5.995004995004995
911,Carrera 4S,HATASIZ-BOYAS­IZ-TRAMERSİZ - VERGİ BARIŞLI 911 CABRİO 4S,2013,570,Beyaz,7950000,04/04/2023,,Ankara,Yenimahalle,7,1685.0,0.33827893175074186
Panamera,Panamera Diesel,LİON MOTORS-2013 PANAMERA 3.0-SGTM-4BLGE-BO­SE-AİRMTC-V.BRŞLI,2013,2500,Beyaz,2799500,04/04/2023,,İstanbul,Kadıköy,40,1685.0,1.4836795252225519
Cayman,Cayman,GARANTİLİ DOĞUŞ ÇIKIŞLI 2015 KIRMIZI CAYMAN,2015,780,Kırmızı,4050000,04/04/2023,,İstanbul,Ataşehir,40,1280.0,0.609375
Panamera,Panamera Diesel,175 KM DE BOSS SES SİSTEMİ 4 BÖLGE ISITMA SOĞUTMA VS VS,2012,1750,Beyaz,3100000,04/04/2023,,Eskişehir,Odunpazarı,32,1970.0,0.8883248730964467
Panamera,Panamera 4S,PANAMERA 4S 2 YIL GARANTİLİ DOĞUŞ BAYİ ÇIKIŞLI,2016,790,Beyaz,9650000,04/04/2023,,Sivas,Merkez,72,700.0,1.1285714285714286
911,Carrera 4S,2021 PORSCHE 911 CARRERA 4S PDK-LIFT-SO ĞUTMA-SPOR EGZOZ-RADAR,2021,250,Siyah,13750000,04/04/2023,,İstanbul,Bağcılar,40,180.0,1.3888888888888888
Panamera,Panamera Diesel,Porshe Panamera 3.0 DİZEL,2013,2450,Siyah,3575000,04/04/2023,,Kırklareli,Lüleburgaz,50,1685.0,1.454005934718101
Panamera,Panamera 4 Sport Turismo,SS MOTORS BAYİ 2018 PANAMERA4 SPORT TURISMO-AIR­MATIC-SPOR EGZOZ,2018,30759,Füme,8000000,04/04/2023,,İstanbul,Şişli,40,490.0,62.7734693877551
Panamera,Panamera 4S,ULUS MOTORS 2021 PORSCHE PANAMERA 4S - ARKA AKS - 6.060 KM,2021,606,Füme,10500000,04/04/2023,,İstanbul,Beşiktaş,40,180.0,3.3666666666666667
Panamera,Panamera Diesel,BEST OTODAN BAYİ ÇIKIŞLI YENİ KASA MAKYAJLI PANAMERA HATASIZ,2013,2150,Siyah,3470000,04/04/2023,,İstanbul,Bağcılar,40,1685.0,1.2759643916913948
Panamera,Panamera Diesel,Hatasız boyasız tramersiz..,2012,22812,Siyah,2750000,04/04/2023,,Kahramanmaraş,Afşin,42,1970.0,11.57969543147208
Boxster,Boxster,HATASIZ BOYASIZ TRAMERSİZ FULL YETKİLİ SERVİS BAKIMLI,2014,1530,Beyaz,2850000,04/04/2023,,İstanbul,Kartal,40,1420.0,1.0774647887323943
Boxster,Boxster,-EMA LUXURY'DEN-2014 BAYİ HATASIZ 55.000 KM ÖZEL RENK+ISITMA..!,2014,550,Lacivert,3350000,04/04/2023,,Bursa,Nilüfer,21,1420.0,0.3873239436619718
Boxster,Boxster,Red Porsche Cabro,2017,720,Kırmızı,3650000,04/04/2023,,Antalya,Kepez,8,850.0,0.8470588235294118
Panamera,Panamera Diesel,BOSE VAKUM ISITMA SOĞUTMA AİR MAKYAJLI KASA 176 BİNDE,2013,1760,Beyaz,2200000,03/04/2023,,İstanbul,Üsküdar,40,1685.0,1.0445103857566767
Panamera,Panamera 4S Diesel,''''GARDEN'''' 2017 PANAMERA 4S DIESEL MULTIMEDIA BOSE,2017,2512,Beyaz,9750000,03/04/2023,,İstanbul,Ataşehir,40,850.0,2.9552941176470586
Panamera,Panamera 4S Diesel,BOYASIZ 4S DİZEL AİR ISITMA SOĞUTMA VAKUM İÇİ KIRMIZI ARKA AKS,2017,1250,Siyah,8850000,03/04/2023,,Antalya,Kepez,8,850.0,1.4705882352941178
Taycan,4S Performance Plus,TAYCANIN DOĞUŞ GARANTİLİ EN DOLUSU,2020,400,Beyaz,5950000,03/04/2023,,İstanbul,Başakşehir,40,260.0,1.5384615384615385
Panamera,Panamera Diesel,YENİ KASA PORSCHE PANAMERA 3.0 D HATASIZ BOYASIZ...,2013,1050,Beyaz,4050000,03/04/2023,,Kocaeli,İzmit,52,1685.0,0.6231454005934718
Panamera,Panamera Diesel,2013 MAKYAJLI PORSCHE PANAMERA 3.0 DİESEL **EĞLENCE PAKETLİ**,2013,1650,Beyaz,3750000,03/04/2023,,İstanbul,Başakşehir,40,1685.0,0.9792284866468842
Panamera,Panamera Diesel,OTOZEN GARAJ PORSCHE PANAMERA BAYİİ GARANTİLİ 175000 KM DİZEL,2012,1750,Beyaz,2930000,03/04/2023,,Ankara,Çankaya,7,1970.0,0.8883248730964467
Boxster,Boxster,SAHİBİNDEN 1997 2.5 TİPTRONİC 986 PORSCHE BOXSTER,1997,141585,Siyah,1250000,03/04/2023,,Adana,Sarıçam,1,910.0,155.5879120879121
Taycan,Turbo,Sıfır gibi,2020,70,Siyah,6700000,03/04/2023,,İstanbul,Bakırköy,40,260.0,0.2692307692307692
Panamera,Panamera Diesel,2012 MODEL PORSCHE PANAMERA DİESEL HATASIZ BOYASIZ DEĞİŞENSİZ,2012,2150,Beyaz,2950000,03/04/2023,,Ankara,Keçiören,7,1970.0,1.0913705583756346
Panamera,Panamera Diesel,Auto barok,2012,2240,Beyaz,3500000,03/04/2023,,Bursa,İnegöl,21,1970.0,1.1370558375634519
Panamera,Panamera Diesel,SAHİBİNDEN 2013 BAYİ PANAMERA DİESEL,2013,2230,Siyah,3600000,03/04/2023,,Antalya,Muratpaşa,8,1685.0,1.3234421364985163
Panamera,Panamera Diesel,YENİ KASA MAKYAJLI VERGİ BARIŞLI TÜRKİYEDE EMSALİ YOK,2012,2470,Siyah,2600000,03/04/2023,,Mersin,Toroslar,58,1970.0,1.2538071065989849
Panamera,Panamera 4,RichieRichie Cars 2011 PANAMERA 4 3.6 V6 BAYİİ BOYASIZ 60.000KM,2011,600,Siyah,3119900,03/04/2023,,İstanbul,Sarıyer,40,1680.0,0.35714285714285715
Boxster,Boxster,TANER MOTORS&İNŞAAT PORSCHE BOXSTER,2014,2200,Beyaz,4250000,03/04/2023,,Antalya,Muratpaşa,8,1420.0,1.5492957746478873
Boxster,S,"HATASIZ BOYASIZ TRAMERSİZ Boxster S - 3,2 lt 285 hp + HARDTOP",2005,1350,Siyah,1877000,03/04/2023,,İzmir,Gaziemir,41,1405.0,0.9608540925266904
Panamera,Panamera 4S,CENKAR-PORSCHE PANEMARA 400 HP 4S V8 PDK BAYİ 2011,2011,1680,Siyah,2350000,03/04/2023,,Ankara,Çankaya,7,1680.0,1.0
Taycan,4 Cross Turismo,2022 BAYİ 4CROSS/SPOR SES/21'JANT/BO­SE/AIRMATIC/SO ĞUTMA%18KDV'Lİ,2022,62,Gri,6850000,03/04/2023,,Afyonkarahisar,Merkez,0,1001.0,0.061938061938061936
Panamera,Panamera Diesel,SAHİBİNDEN BAYİ ÇIKIŞLI SERVİS BAKIMLI TEMİZ PANAMERA,2015,690,Siyah,5750000,03/04/2023,,İstanbul,Sultangazi,40,1280.0,0.5390625
Panamera,Panamera 4,"-CGR MOTORS- PORSCHE PANAMERA 4 3.6 V6 BAYİ,CARBN,­PUSULA,LED FAR",2011,2850,Beyaz,2375000,03/04/2023,,İstanbul,Sarıyer,40,1680.0,1.6964285714285714
Panamera,Panamera 4 Platinum Edition,'PEUGEOT BAYKAR' 2022 BAYİİ PANAMERA 4 PLATINIUM EDITION,2022,6111,Siyah,13250000,03/04/2023,,Bursa,Osmangazi,21,1001.0,6.104895104895105
Taycan,4S Performance Plus,PORSCHE TAYCAN 2020 4S PERFORMANCE PLUS,2020,75,Siyah,7000000,03/04/2023,,Bursa,Mudanya,21,260.0,0.28846153846153844
Panamera,Panamera Diesel,BAYİ ÇIKIŞLI BAYİ BAKIMLI HATASIZ BOYASIZ PORSCHE PANAMERA,2013,1780,Kahverengi,4000000,03/04/2023,,İstanbul,Zeytinburnu,40,1685.0,1.056379821958457
Panamera,Panamera Diesel,BAYİÇIKIŞLI PANAMERA 92.000 KM HATASIZ BOYASIZ TRAMERSIZ,2014,920,Siyah,4575000,03/04/2023,,İstanbul,Bahçelievler,40,1420.0,0.647887323943662
Panamera,Panamera Diesel,-NCR- PORSCHE PANAMERA 3.0 AİR-SOĞUTMA-PUSULA TAM DOLU,2012,2520,Beyaz,3050000,03/04/2023,,Konya,Karatay,53,1970.0,1.2791878172588833
Boxster,S,Sahibinden Porsche Boxter S 3.2 Otomatik,2000,1740,Gümüş Gri,1210000,03/04/2023,,İstanbul,Beşiktaş,40,1990.0,0.8743718592964824
Taycan,4S,AYTAÇ AUTO'DAN KEFİLSİZ EVRAKSIZ 20 DK DA KREDİ İMKANI.,2020,260,Gri,5450000,03/04/2023,,İstanbul,Güngören,40,260.0,1.0
Panamera,Panamera 4S,BT MOTORS PANAMERA 4S 4.8 V8 400 HP PDK BAYİ AIR CHRONO KARBON,2010,1120,Kahverengi,2490000,03/04/2023,,İstanbul,Esenyurt,40,1420.0,0.7887323943661971
718,Boxster,"SS MOTORS 2017 PORSCHE 718 BOXSTER-CHRO­NO-BOSE-20"" JANT",2017,66289,Beyaz,3695000,03/04/2023,,İstanbul,Şişli,40,850.0,77.98705882352941
Taycan,4S Performance Plus,"DOĞUŞ GARANTİLİ,HATASIZ,4S P.PLUS,TRÜF,MAS­AJ,SOĞUTMA-ARKA AKS",2020,330,Siyah,5550000,03/04/2023,,Ankara,Çankaya,7,260.0,1.2692307692307692
911,Carrera S,| UNIQ AUTO | 2012 911 CARRERA S CHRONO BOSE CARPLAY 20'' BOYASZ,2012,590,Siyah,5870000,03/04/2023,,İstanbul,Ataşehir,40,1970.0,0.29949238578680204
Panamera,Panamera Diesel,KOYUNCU AUTO BAYİ 2015 PANAMERA DİESEL HATASIZ ORJİNAL TAM DOLU,2015,1200,Beyaz,4850000,03/04/2023,,Mersin,Erdemli,58,1280.0,0.9375
Taycan,4S Performance Plus,SAHİBİNDEN 2020 ARKA AKS-YOLCU EKRANI- SPORT DESİGN-SOĞUTMA,2020,350,Siyah,5175000,03/04/2023,,İstanbul,Bakırköy,40,260.0,1.3461538461538463
Panamera,Panamera Diesel,EKSPRES PLAZA'DAN 2012 PORSCHE PANAMERA 3.0 D DOĞUŞ ÇIKIŞLI,2012,2100,Siyah,2550000,03/04/2023,,Gaziantep,Şehitkamil,33,1970.0,1.0659898477157361
911,Carrera 4S,- YENİKÖY MOTORS İZMİR - 2013 PORSCHE 911 CARRERA 4S - CHRONO,2013,1020,Beyaz,6350000,03/04/2023,,İzmir,Bayraklı,41,1685.0,0.6053412462908012
Panamera,Panamera Diesel,"2012 Panamera Diesel 160.000 KM (Isıtma,Soğutma)Full Estetik Hdy",2012,1600,Siyah,2800000,03/04/2023,,Denizli,Merkezefendi,25,1970.0,0.8121827411167513
Panamera,Panamera Diesel,HK MOTORS//3.0 DİZEL//BAYİİ//İÇİ BEJ//PANAMERA//,2012,2900,Beyaz,2600000,03/04/2023,,Kahramanmaraş,Afşin,42,1970.0,1.4720812182741116
Panamera,Panamera 4,BAYİ 2011 PANAMERA 3.6 4_SUNROOF_BOSE_GARAN­TI_59.000KM_HATASIZ,2011,590,Beyaz,3295000,03/04/2023,,İstanbul,Kadıköy,40,1680.0,0.35119047619047616
Taycan,4S Performance Plus,YENİKÖY MOTORS İZMİR - 2020 PORSCHE TAYCAN 4S - ARKA AKS - BOSE,2020,0,Beyaz,6100000,03/04/2023,,İzmir,Bayraklı,41,260.0,0.0
Taycan,4S Performance Plus,2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS+SPORT CHRONO+ARKA AKS FL,2020,90,Siyah,5990000,03/04/2023,,İstanbul,Kadıköy,40,260.0,0.34615384615384615
Panamera,Panamera Diesel,2013 PORSCHE PANAMERA DİESEL AİRMATİC+ISI­TMA+SOĞUTMA,2013,2190,Beyaz,3480000,03/04/2023,,Ankara,Keçiören,7,1685.0,1.2997032640949555
Panamera,Panamera Diesel,KARDAŞ MOTORS 2017 GÖRÜNÜM PANAMERA DİZEL EMSALSİZ,2012,2350,Siyah,3010000,03/04/2023,,İstanbul,Pendik,40,1970.0,1.1928934010152283
Panamera,Panamera 4S,MK MOTORSDAN 2012 BAYİ 37 BİN KM'DE PANAMERA 4S SOĞUTMA+BOSE,2012,370,Siyah,3650000,03/04/2023,,İstanbul,Bağcılar,40,1970.0,0.18781725888324874
Panamera,Panamera Diesel,KARACAK EXCLUSİVE'DEN BAYİ ÇIKIŞLI HATASIZ BOYASIZ TRAMERSİZ,2015,1680,Siyah,4820000,03/04/2023,,Afyonkarahisar,Merkez,0,1280.0,1.3125
Panamera,Panamera Diesel,PORSCHE PANEMERA HATASIZ BOYASIZ BAYİ MAKYAJLI ISITMA-SOĞUTMA,2013,1980,Siyah,3840000,03/04/2023,,Ankara,Çankaya,7,1685.0,1.175074183976261
Panamera,Panamera Diesel,2017ÇIKIŞLI HATASIZ 300HP ISITMA SOĞUTMA KÖRNKTA KARBN FULL+FULL,2015,1490,Siyah,5075000,03/04/2023,,İzmir,Buca,41,1280.0,1.1640625
911,Carrera 4S,-GARAGE 2008 PORSCHE 911 CARRERA 4S/BOSE/CHRONO/BAYİ,2008,6864,Siyah,3650000,02/04/2023,,İstanbul,Beykoz,40,1350.0,5.084444444444444
