seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
Taycan,Turbo S,DOĞUŞ ÇIKIŞLI 2021 TAYCAN TURBO S - INNODRIVE - BURMESTER - KARB,2021,73,Siyah,6750000,30/04/2023,,İzmir,Buca,41,180.0,0.40555555555555556
Panamera,Panamera Diesel,TREMERSİz değişensiz 2012,2012,1670,Beyaz,2100000,30/04/2023,,Bursa,Osmangazi,21,1970.0,0.8477157360406091
Panamera,Panamera Diesel,Tertemiz Sadece Dosta gider SON FİYAT,2012,1180,Siyah,2200000,30/04/2023,,İstanbul,Ataşehir,40,1970.0,0.5989847715736041
Panamera,Panamera Diesel,PORSCHE_PANAMERA­_2013_PUSULA_VA­KUM_SOĞUTMA_CARB­ON_AİR_PLATİNUM,2013,2150,Siyah,3100000,30/04/2023,,Ankara,Akyurt,7,1685.0,1.2759643916913948
Panamera,Panamera Diesel,HATASIZ BOYASIZ TRAMERSİZ BOSE+SOĞUTMA+MATR İX+BAYİ+360KAMERA,2014,1350,Beyaz,4850000,30/04/2023,,Gaziantep,Şehitkamil,33,1420.0,0.9507042253521126
911,Turbo S,"ÇAĞATAY AUTO 2022 PORSCHE 911 TURBO-S CABRIO 650 HP/0-100 2,7 SN",2022,6001,Siyah,25750000,30/04/2023,,İstanbul,Avcılar,40,1001.0,5.995004995004995
Panamera,Panamera Diesel,ASKAR OTOMOTİV'DEN 2015 PANAMERA DIESEL DOĞUŞ ÇIKIŞLI,2015,16285,Siyah,3890000,29/04/2023,,İstanbul,Bağcılar,40,1280.0,12.72265625
Panamera,Panamera 4 - 10 Years Edition,EKCAR'DAN 2020 (%18KDV) PANAMERA 4 - 10 YEARS EDITION HATASIZ,2020,480,Siyah,7920000,29/04/2023,,İstanbul,Bağcılar,40,260.0,1.8461538461538463
911,Carrera 4S,ZENGİN OTOMOTİV DEN CARRERA 4S CABRİO 16.000 KM DE,2019,160,Siyah,12600000,29/04/2023,,İstanbul,Ümraniye,40,320.0,0.5
Panamera,Panamera Diesel,DOLULAR DOLUSU PANAMERA,2012,2750,Siyah,2355000,29/04/2023,,Antalya,Muratpaşa,8,1970.0,1.3959390862944163
