seri,model,titles,year,km,color,prices,date,location,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location"""
,,,,,,,,,"Panamera,Panamera Diesel,2012 MODEL DEĞİŞENSİZ PORSCHE PANAMERA DİESEL 3.0 V6,2012.0,286.0,Kahverengi,3.150.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Konya"
,,,,,,,,,"Karatay"","
,,,,,,,,,"911,Carrera 4S,GALLERİA-2019 PORSCHE 911 CARRERA 4S-HATASIZ-SO ĞUTMA-CHRONO,2019.0,11.067,Füme,12.500.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Şişli"","
,,,,,,,,,"Panamera,Panamera S,MÇ MOTORS'DAN 2010 MODEL PANAMERA S VERGİ BARIŞLI,2010.0,152.0,Siyah,3.425.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Tekirdağ"
,,,,,,,,,"Çerkezköy"","
,,,,,,,,,"Panamera,Panamera 4,ÇELİKEL MOTORS PANAMERA PDK-CARBON-PUSULA-A İRMATİC-BOSE-CHRONO,2011.0,219.0,Beyaz,3.000.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Amasya"
,,,,,,,,,"Merkez"","
,,,,,,,,,"Taycan,4 Cross Turismo,NARİN'DEN PORSCHE TAYCAN 4 CROSS TURISMO BAYİ ÇIKIŞLI,2022.0,6.1,Siyah,6.250.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"Taycan,Turbo S,ARS MOTORS 2020 PORSCHE TAYCAN TURBO S ''HATASIZ'',2020.0,6.33,Beyaz,7.300.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"911,Turbo,TURBO PDK -BAYİ - SERAMİK FREN - TECHART EGZOZ / INTAKE / CARBON,2010.0,44.2,Gri,7.250.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Aydın"
,,,,,,,,,"Nazilli"","
,,,,,,,,,"Panamera,Panamera 4 E-Hybrid,BYCAR 2023 PANAMERA 4 E-HYBRİD 462 HP SOĞUTMA AİR FULL,2022.0,6.666,Siyah,12.500.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"Panamera,Panamera Diesel,AUTO CAYMAZ 2012 BAYİİ PORSCHE PANAMERA DİZEL,2012.0,174.0,Siyah,3.350.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Muğla"
,,,,,,,,,"Fethiye"","
,,,,,,,,,"Taycan,4S,SS MOTORS 2021 TAYCAN 4S-HEAD UP-YOLCU EKRANI-SOĞUTMA-KÖR NOKTA,2021.0,14.656,Siyah,4.850.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Şişli"","
,,,,,,,,,"911,Carrera 4,SAHIBINDEN COK TEMIZ-DUSUK KM-TRAMERSIZ,2001.0,128.0,Gümüş Gri,1.750.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"911,Carrera 4S,PORSCHE 911 CARRERA 4S / Lift - Burmester - Arka Aks - SprDesign,2019.0,12.9,Siyah,11.200.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Kocaeli"
,,,,,,,,,"İzmit"","
,,,,,,,,,"Panamera,Panamera 4 E-Hybrid,""""""""""GARDEN""""""""2022 PLATINUM EDITION MASAJ ARKA AKS TESLİME HAZIR"",2022.0,6.004,Füme,12.400.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Ataşehir"","
,,,,,,,,,"911,Carrera 4S,EC MOTORS 2013 911 CARRERA 4S PDK 31.000 KM BOYASIZ TRAMERSİZ,2013.0,31.0,Beyaz,6.450.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"Panamera,Panamera 4 Platinum Edition,MAG PORSCHE PANAMERA 4 PLATINUM EDITION,2022.0,6.021,Siyah,11.600.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sancaktepe"","
,,,,,,,,,"Taycan,Turbo S,TARGET MOTORS 2020 TAYCAN TURBO S 761 HP KARBON SERAMİK FREN,2020.0,0.0,Mavi,6.950.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"911,Carrera 4,'' SYL GROUP '' PORSCHE CARRERA 4+CRUZ+SUNRO­OF+PDK+DOĞUŞ BAYİ+++,2001.0,128.0,Gümüş Gri,1.650.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bağcılar"","
,,,,,,,,,"Panamera,Panamera 4,2011 PORSCHE PANAMERA 4 NAVİGSYON SUNROF PDK ISTMA 143.000 KM de,2011.0,143.0,Siyah,2.250.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Van"
,,,,,,,,,"Edremit"","
,,,,,,,,,"911,Carrera 4S,-MAKINA VADI-2013 PORSCHE 911 CARRERA 4S CABRIO PDK-BOSE-CHRONO,2013.0,49.0,Beyaz,6.450.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"Cayman,Cayman,SÜRMENE OTOMOTİV'DEN DERİ+ISITMA+BOSE SES+PDK ŞANZUMAN+F1+265 PS,2010.0,95.0,Kahverengi,1.799.900 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bağcılar"","
,,,,,,,,,"911,Turbo,2001 PORSCHE 911 TURBO 4*4 3.6 420Hp OTOMATİK MASRAFSIZ,2001.0,130.0,Gri,3.710.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Başakşehir"","
,,,,,,,,,"Panamera,Panamera Diesel,OTTO'DAN BAYİ MAKYAJLI MATRİX BOSE VAKUM PUSULA CHRONE 5BÖLGE,2013.0,155.0,Siyah,3.950.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Denizli"
,,,,,,,,,"Merkezefendi"","
,,,,,,,,,"911,Carrera 4S,MİLANO GARAGE'den PORSCHE 911 CARRERA 4S..,2007.0,176.859,Siyah,2.375.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"Cayman,S,TARGET MOTORS 2006 CAYMAN S MAT MAVİ HATASIZ BAYİ,2006.0,149.0,Gri,1.750.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"911,Carrera 4,""Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK"",2013.0,89.9,Füme,5.250.000 TL,""10 Mart"
,,,,,,,,,"2023"",""Ankara"
,,,,,,,,,"Çankaya"","
,,,,,,,,,"Boxster,Boxster,ARS MOTORS 1997 PORSCHE 986 BOXSTER 2.5 204 HP STOCK,1997.0,63.0,Gri,764.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"Panamera,Panamera 4,PORSCHE PANAMERA TERTEMİZ MASRAFSIZ,2012.0,173.0,Beyaz,2.250.000 TL,""10 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Ümraniye"","
,,,,,,,,,"Taycan,4 Cross Turismo,2021 TAYCAN 4 CROSS TURİSMO SPORT DESİGN-İÇİ TRÜF-SOĞUTMA-AİRMTC,2021.0,8.375,Gri,7.150.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"Panamera,Panamera Diesel,Hasar kayıtsız değişensin temiz Panamera .,2012.0,189.0,Siyah,2.850.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İzmir"
,,,,,,,,,"Bayraklı"","
,,,,,,,,,"Taycan,Taycan,GÖRSELİ BOŞVER BİRDE YOLDA GÖR//GÜÇ TUTKU VE DAHA FAZLASI...,2021.0,12.0,Lacivert,5.100.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bağcılar"","
,,,,,,,,,"Taycan,4S Performance Plus,İNTİKAL MOTOR'S 2020 PORSCHE TAYCAN 4S performans Plus BOYASIZ,2020.0,30.0,Beyaz,6.500.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bağcılar"","
,,,,,,,,,"911,Carrera,""""""AKN AUTO"""" 2012 MODEL PORSCHE CARRERA SOĞUTMA-S.EKSOZ-BOSE BAYİ"",2012.0,108.0,Beyaz,4.250.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"Panamera,Panamera Diesel,'MavişMotors'Air­Matic+Soğutma+Ch­orona+Bose+Keyl­ess+Navi+Hatasız,2012.0,99.0,Beyaz,3.275.900 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Gaziosmanpaşa"","
,,,,,,,,,"Panamera,Panamera Diesel,HAYMANA 2013 MAKYAJLI PANAMERA AİR SOĞUTMA SPORT DESİGN MATRİX,2013.0,170.0,Beyaz,3.490.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Küçükçekmece"","
,,,,,,,,,"Panamera,Panamera Diesel,CHRONO-PUSULA-KARBON FULL PANAMERA,2012.0,258.56,Siyah,2.475.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Diyarbakır"
,,,,,,,,,"Kayapınar"","
,,,,,,,,,"Panamera,Panamera S,""2011 PORSCHE PANEMARA 3.6 V6 PDK 145,000 KM BAKIMLARI TAM"",2011.0,145.0,Siyah,2.295.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Bursa"
,,,,,,,,,"Nilüfer"","
,,,,,,,,,"Panamera,Panamera Diesel,2012 PORSCHE PANEMERA 3.0 DİESEL AİRMATİC ISITMA SOĞUTMA,2012.0,235.0,Siyah,2.500.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Antalya"
,,,,,,,,,"Muratpaşa"","
,,,,,,,,,"Taycan,4S Performance Plus,ATASOY 2020 PORSCHE TAYCAN BOSE/CAM TAVAN/CHRONO/YOLCU EKRAN...,2020.0,42.0,Siyah,4.410.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Ankara"
,,,,,,,,,"Etimesgut"","
,,,,,,,,,"Panamera,Panamera Diesel,GKN MOTORS PORSHE PANAMERA 3.0 TDİ AİRMATİC BOSE PUSULA MEDİA,2012.0,176.0,Siyah,2.750.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"911,Carrera 4S,BAVARIA GARAGE 2019 14.265 km 992 PORSCHE CARRERA 4S GARANTİLİ,2019.0,14.265,Siyah,11.950.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"911,Carrera 4S,""Baspinar Oto 2008 Porsche Carrera 4S-Doğuş,Bose,C­hrono,78.500km"",2008.0,78.5,Füme,3.750.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"Cayman,Cayman,SMS MOTORS 2010 MODEL PORSCHE CAYMAN 2.9 FULL DONANIM,2010.0,96.0,Lacivert,1.760.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Kağıthane"","
,,,,,,,,,"Taycan,4S Performance Plus,ART MOTORS 2021 PORSCHE TAYCAN 4S PERFORMANS PLUS BOYASIZ,2021.0,13.0,Siyah,5.200.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Kadıköy"","
,,,,,,,,,"Panamera,Panamera Diesel,""Boyasız, Tramersiz, Düşük Kilometre..."",2012.0,135.0,Siyah,4.100.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Adana"
,,,,,,,,,"Seyhan"","
,,,,,,,,,"Panamera,Panamera 4,Orjinal Araç,2011.0,2.0,Beyaz,3.300.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Üsküdar"","
,,,,,,,,,"Boxster,Boxster,AWCI MOTORS 107.500 KM FRANK PARTNER PORSCHE,1996.0,107.5,Kırmızı,1.000.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"Taycan,Turbo,sahibinden satılık orjinal,2020.0,25.0,Beyaz,5.750.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Başakşehir"","
,,,,,,,,,"911,Carrera,CARENA - 2022 PORSCHE 911 Carrera,2022.0,6.001,Beyaz,11.250.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"Panamera,Panamera Diesel,Porsche panemera,2012.0,220.0,Siyah,2.950.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Kocaeli"
,,,,,,,,,"Çayırova"","
,,,,,,,,,"Taycan,4S Performance Plus,- İNANÇ GROUP - 2020 PERFORMANCE PLUS 4S FULL,2020.0,39.0,Mavi,4.998.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Mersin"
,,,,,,,,,"Yenişehir"","
,,,,,,,,,"Panamera,Panamera Diesel,BAYİ BOYA DEĞİŞEN YOK düşük km ÖZEL PLAKA VERİLECEK,2013.0,79.0,Siyah,4.210.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Silivri"","
,,,,,,,,,"Panamera,Panamera Diesel,PORSCHE PANAMERA 3.0 DİESEL TAM DONANIMLI PAKET,2013.0,241.0,Beyaz,3.250.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Mersin"
,,,,,,,,,"Tarsus"","
,,,,,,,,,"Taycan,4S Performance Plus,AKGÜN-2022-PORSCHE TAYCAN-4S PERFORMANCE PLUS-YOLCU EKRANI-BAYİ,2022.0,6.1,Beyaz,6.750.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Ankara"
,,,,,,,,,"Çankaya"","
,,,,,,,,,"Panamera,Panamera 4S,GALERİ İNER PORSCHE PANAMERA 4S 400 HP AİR PDK KEYLESS CHRONO,2010.0,216.0,Siyah,2.750.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Konya"
,,,,,,,,,"Karatay"","
,,,,,,,,,"Taycan,4S Performance Plus,İNCİ'DEN 2020 TAYCAN 4S SERAMİC+BOSE+­SOĞUTMA+YOLCU EKRAN TAMDOLU,2020.0,14.0,Beyaz,5.750.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Kayseri"
,,,,,,,,,"Kocasinan"","
,,,,,,,,,"Panamera,Panamera 4,ERCAR MOTORS 2018 PORSCHE PANAMERA 4-HATASIZ,2018.0,92.0,Siyah,6.800.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"Panamera,Panamera Diesel,SERKAN..PANAMERA CHRONA+AİR+MAT­RİX+KEYLES+NAVİ­+VAKUM+KIRMIZI İÇ,2014.0,192.0,Beyaz,4.020.000 TL,""09 Mart"
,,,,,,,,,"2023"",""Samsun"
,,,,,,,,,"Vezirköprü"","
,,,,,,,,,"Taycan,4S Performance Plus,ERCAR MOTORS 2020 PORSCHE TAYCAN P.PLUS-YOLCU EKRANI-SOĞUTMA,2020.0,15.2,Gri,5.250.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"Cayman,Cayman,""2018 Cayman 718 - Bayi - 911 Carrera 20""""jant Tebeşir Gri - Bose"",2018.0,35.0,Gri,4.350.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Kadıköy"","
,,,,,,,,,"Panamera,Panamera 4,2021 Panamera Makyajlı - Keyless - Vakum - Chrono,2021.0,11.0,Beyaz,8.100.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Kadıköy"","
,,,,,,,,,"Taycan,Taycan,Sifir hata Taycan Performance Plus turbo jant spor design,2021.0,17.5,Siyah,4.900.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"911,Carrera S,""Doğuş Çıkışlı 2011 Kazasız,Boyasız 997.2 Carrera S Pdk, 27.185KM"",2011.0,27.185,Beyaz,4.600.000 TL,""09 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"Taycan,4S Performance Plus,2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS+ARKA AKS+YOLCU EKRANI,2020.0,18.5,Füme,4.890.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Kadıköy"","
,,,,,,,,,"Taycan,4S Performance Plus,HATASIZ 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS+CHRONO+BOSE FUL,2020.0,17.0,Siyah,4.890.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Kadıköy"","
,,,,,,,,,"Panamera,Panamera Diesel,ÇELİKLER LUXURY CAR,2012.0,157.0,Beyaz,3.200.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Antalya"
,,,,,,,,,"Muratpaşa"","
,,,,,,,,,"Panamera,Panamera Diesel,CAR-LEO MAKYAJLI KASA 2013 PANAMERA DİZEL CARBON+CRONO BAYİ ÇIKŞ,2013.0,185.0,Beyaz,2.950.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bağcılar"","
,,,,,,,,,"Panamera,Panamera Diesel,2012 PANAMERA 3.0 D 78bin Km'de-AİR-NAVİ-PUS­ULA-ISITMA-SOĞUTMA,2012.0,78.0,Beyaz,3.510.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Malatya"
,,,,,,,,,"Yeşilyurt"","
,,,,,,,,,"Taycan,4S Performance Plus,SAHİBİNDEN SATILIK MAVİ ALCANTARA İÇ DÖŞEME,2021.0,3.5,Lacivert,5.250.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Üsküdar"","
,,,,,,,,,"718,Cayman,ELEGANCE CARS 2017 BAYİ 718 CAYMAN CHRONO SPOR EGZOZ HATASIZ PDK,2017.0,46.0,Gri,3.690.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"Taycan,4S,GENERAL AUTO'DAN GARANTİLİ TAYCAN 4S HATASIZ SIFIRDAN FARKSIZ,2021.0,11.5,Siyah,5.500.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Şişli"","
,,,,,,,,,"Taycan,4S Performance Plus,CAddE MOTORS 2020 PORSCHE TAYCAN 4S PERFORMANS PLUS ARKA AKS,2020.0,40.0,Füme,4.900.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Kocaeli"
,,,,,,,,,"İzmit"","
,,,,,,,,,"Panamera,Panamera 4 E-Hybrid,CAR-LEO 2023 PANAMERA 4 E-HYBRİD 462 HP SOĞUTMA AİR FUL,2022.0,6.1,Siyah,13.750.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bağcılar"","
,,,,,,,,,"Panamera,Panamera Diesel,EMSALSİZ TEMİZLİKDE VERGİ BARIŞLI PANAMERA,2012.0,220.0,Beyaz,2.080.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Mersin"
,,,,,,,,,"Yenişehir"","
,,,,,,,,,",,,,,,,,,"
,,,,,,,,,"911,Carrera,2011 MODEL - HATASIZ - PORSCHE 911 CARRERA COUPE - PDK 345 HP,2011.0,150.0,Beyaz,3.950.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beylikdüzü"","
,,,,,,,,,"911,Carrera,""""""UNIVERSAL MOTORS"""" 2001 PORSCHE 911 CARRERA TIPTRONIC 46.600 KM"",2001.0,46.6,Gri,1.630.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Şişli"","
,,,,,,,,,"Taycan,4S Performance Plus,Hatasız Bayi 4s Performance PPF (Takaslı),2020.0,26.0,Mavi,5.350.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Bolu"
,,,,,,,,,"Merkez"","
,,,,,,,,,"911,Turbo,""2008 Porsche 911 Turbo Bayi Çıkış"
,,,,,,,,,"Yetkili Bayi"",2008.0,51.0,Siyah,4.490.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"Taycan,4S Performance Plus,ESN MOTORS'DAN 2020 TAYCAN 4S PERFORMANCE PLUS BOYASIZ TRAMERSİZ,2020.0,42.5,Siyah,4.750.063 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Küçükçekmece"","
,,,,,,,,,"911,Turbo,""2003 Porsche 911 Turbo 3.6 420 Hp 121.000 Km Bayi Çıkışlı"
,,,,,,,,,"Yetkili Bayi"",2003.0,121.0,Gri,3.325.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"Panamera,Panamera 4,-MAKINA VADI-2011 PANAMERA 4-SPORT CHORONO-PDK ŞANZIMAN -BAYİ-,2011.0,126.09,Mavi,2.750.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"Panamera,Panamera Diesel,///M ASLAN MOTORS DAN HATASIZ BOYASIZ PANAMERA GTS PUSULA VS,2012.0,278.0,Beyaz,2.700.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Ankara"
,,,,,,,,,"Yenimahalle"","
,,,,,,,,,"Panamera,Panamera Diesel,PRESTİJ // 2012 Model 245.000 Km'de Makyajlı Panamera 3.0 Dizel,2012.0,245.0,Siyah,2.800.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Konya"
,,,,,,,,,"Selçuklu"","
,,,,,,,,,"Panamera,Panamera Diesel,ERESİN MOTORS'DAN HARMAN KARDON AİRMATİC KARBONDİREKSİYON PUSULA,2013.0,155.0,Beyaz,3.950.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Fatih"","
,,,,,,,,,"Panamera,Panamera Diesel,2012 PANAMERA BOSE+VAKUM+P­USULA+TURBO JANT 93.000 KM,2012.0,93.0,Siyah,2.950.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"Boxster,Boxster,GALERAS 2011 PORSCHE BOXSTER DOĞUŞ ÇIKIŞLI 36.300 KM HATASIZ,2011.0,36.3,Kırmızı,2.475.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bahçelievler"","
,,,,,,,,,"Taycan,4S Performance Plus,Auto-Barok otomotiv,2020.0,6.05,Kırmızı,7.550.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Bursa"
,,,,,,,,,"İnegöl"","
,,,,,,,,,"Taycan,4S Performance Plus,EA MOTORS 2020 DOĞUŞ BAYİ TAYCAN 4S 571HP SOGUTMA/OLEA/BUZ LED,2020.0,55.409,Siyah,4.950.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"Panamera,Panamera 4S,SAN OTOMOTİV 2010 PANAMERA 4S BAYİ,2010.0,176.0,Beyaz,2.560.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,",,,,,,,,,"
,,,,,,,,,"Taycan,4S Performance Plus,NEWCARDAN 571Hp+YOLCU EKRANI+ARKA AKS+DİSTRONİC+M­ASAJ+BOSE+CARBN,2020.0,10.0,Beyaz,5.450.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"Taycan,GTS,NİSPETİYE MOTORS 2022 TAYCAN GTS,2022.0,8.7,Gri,7.400.000 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Beşiktaş"","
,,,,,,,,,"Panamera,Panamera Diesel,AVC MOTORS 'DAN - 2012 PANA DİESEL - K IST SOĞ - PUSULA - AİR,2012.0,193.0,Siyah,2.795.000 TL,""08 Mart"
,,,,,,,,,"2023"",""Kayseri"
,,,,,,,,,"Melikgazi"","
,,,,,,,,,"Panamera,Panamera 4S Diesel,""SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""""JANT+BOSE­+AİRMATİC+TURBOKANAT"",2017.0,87.5,Siyah,9.499.900 TL,""08 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bağcılar"","
,,,,,,,,,"911,Carrera 4 GTS,MERKAR - 2022 PORSCHE 911 Carrera 4 GTS Gümüş-BORDO,2022.0,6.001,Gümüş Gri,16.200.000 TL,""07 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Bakırköy"","
,,,,,,,,,"Panamera,Panamera 4,VİP OTO'DAN 2011 MODEL PORSCHE PANAMERA 4 BAYİ PUSULA SOĞUTMA,2011.0,145.0,Siyah,2.150.000 TL,""07 Mart"
,,,,,,,,,"2023"",""Ankara"
,,,,,,,,,"Akyurt"","
,,,,,,,,,"911,Turbo,2010 - 911 Turbo - 997.2 kasa - 3800 cc - 700 Hp,2010.0,116.0,Beyaz,4.850.000 TL,""07 Mart"
,,,,,,,,,"2023"",""Ankara"
,,,,,,,,,"Çankaya"","
,,,,,,,,,"Panamera,Panamera Diesel,SAYLAM 2015 PANAMERA 3.0D 300HP-BAYİ-SOĞUTMA-­CHRONO-CARBON-FULL,2015.0,119.0,Siyah,4.350.000 TL,""07 Mart"
,,,,,,,,,"2023"",""Trabzon"
,,,,,,,,,"Akçaabat"","
,,,,,,,,,"Panamera,Panamera 4,AZAD MOTORS 2011 PANAMERA 4 ISITMA BOSE CARBON PUSULA PDK FULL,2011.0,224.0,Beyaz,1.974.000 TL,""07 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sultanbeyli"","
,,,,,,,,,"911,Turbo,Doğuş çıkışlı 2001 model Porsche 996 Carrera Turbo Face lift,2001.0,59.0,Gümüş Gri,4.000.000 TL,""07 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"928,S4,PORSCHE 928 4.7 V8 COUPE MANUEL VİTES 1978,1978.0,100.0,Kahverengi,915.000 TL,""07 Mart"
,,,,,,,,,"2023"",""İstanbul"
,,,,,,,,,"Sarıyer"","
,,,,,,,,,"911,Carrera 4,PRONTO AUTO'DAN CARRERA 4 MANUEL NADİR KALANLARDAN,2001.0,161.0,Siyah,1.750.000 TL,""07 Mart"
,,,,,,,,,"2023"",""Ankara"
,,,,,,,,,"Kahramankazan"","
,,,,,,,,,"911,Carrera 4S,2007 MODEL DOĞUŞ BAYİİ ÇIKIŞLI CHORONO SAAT BOSE SES SİSTEMİ,2007.0,140.387,Gri,2.295.000 TL,""07 Mart"
,,,,,,,,,"2023"",""Ankara"
