seri,model,titles,year,km,color,prices,date,Il,Ilce,id,km_median,km / median
911,Carrera,PRESTİJ PLAZA 2011 PORSCHE 911 CARRERA CABRIO PDK 345 HP,2011,88000,Beyaz,4700000,2023-03-29,İstanbul,Ataşehir,40,64900.0,1.3559322033898304
Panamera,Panamera 4S,GALLERY TR'DE TEK 2013 BOYASIZ BAYİ 13 BİNDE YENİ PANAMERA 4SPDK,2013,13000,Siyah,5750044,2023-03-29,İstanbul,Beşiktaş,40,75000.0,0.17333333333333334
Boxster,Boxster,BAVARIA GARAGE 2000 79.590 km PORSCHE BOXSTER BAYİ,2000,79590,Gümüş Gri,1395000,2023-03-29,İstanbul,Sarıyer,40,79590.0,1.0
Panamera,Panamera Diesel,BAYSILAN'DAN 2012 PORSCHE PANAMERA DİESEL FULL+FULL EMSALSİZ,2012,70000,Beyaz,3500000,2023-03-29,İstanbul,Esenler,40,205000.0,0.34146341463414637
911,Carrera,BAVARIA GARAGE 1999 62.500 km PORSCHE CARRERA,1999,62500,Siyah,1995000,2023-03-29,İstanbul,Sarıyer,40,88000.0,0.7102272727272727
Taycan,4S Performance Plus,PAZARLIKSIZ SON FİYAT !!! BAYİİ,2021,16000,Beyaz,6350000,2023-03-29,Bursa,Yıldırım,21,25000.0,0.64
Panamera,Panamera 4S,CİO MOTORS PANAMERA-4S -KEYLESS-AIR-M .MEDIA-CHRONO,2011,110000,Beyaz,3595000,2023-03-29,İzmir,Bornova,41,133000.0,0.8270676691729323
718,Boxster,ATİOĞLU 2016 PORSCHE 718 BOXSTER CABRİO BOYASIZ HATASIZ 300 HP,2016,70000,Siyah,3550000,2023-03-29,Sakarya,Adapazarı,66,46000.0,1.5217391304347827
Taycan,Turbo S,DOĞUŞ BAYİ ÇIKIŞLI ÖZEL SİPARİŞ HATASIZ BOYASIZ -KARBON-ARKA AKS,2020,15000,Beyaz,6750000,2023-03-29,Samsun,İlkadım,67,29000.0,0.5172413793103449
Taycan,Turbo,Darbe Boya yok. Hatasız.,2020,21000,Gri,6500000,2023-03-29,Antalya,Muratpaşa,8,27000.0,0.7777777777777778
911,Carrera 4,BAVARIA GARAGE 2000 71.950 km PORSCHE CARRERA 4,2000,71950,Gümüş Gri,1895000,2023-03-29,İstanbul,Sarıyer,40,133000.0,0.5409774436090226
911,Carrera 4S,GALLERIA-2021 PORSCHE CARRERA 4S-DISTRONIC -ISITMA-SPOR EGZOZ,2021,6500,Siyah,14150000,2023-03-29,İstanbul,Şişli,40,25000.0,0.26
Taycan,4S Performance Plus,2020 PORSCHE TAYCAN 4S - ARKA AKS - BOSE BAYİ ÇIKIŞLI,2020,20000,Siyah,5225000,2023-03-29,Bursa,Yıldırım,21,22000.0,0.9090909090909091
