seri;model;titles;year;km;color;prices;date;location
Cayman;Cayman;STAR MOTORS'DAN BAYİ 2014 PORSCHE CAYMAN 2.7 PDK 98.500 KM DE;2014;98.500;Gri;2.950.000 TL;18Nisan2023;İstanbul Kadıköy
Cayman;Cayman;STAR MOTORS'DAN BAYİ 2014 PORSCHE CAYMAN 2.7 PDK 98.500 KM DE;2014;98.500;Gri;2.950.000 TL;18Nisan2023;İstanbul Kadıköy
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;İstanbul Şişli
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
911;Carrera 4S;"""BODRUM OTO"" 2006 PORSCHE 911 CARRERA 4S 355 HP 4WD";2006;98.500;Siyah;2.665.000 TL;07Mart2023;Muğla Bodrum
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
911;Carrera 4S;"""BODRUM OTO"" 2006 PORSCHE 911 CARRERA 4S 355 HP 4WD";2006;98.500;Siyah;2.665.000 TL;07Mart2023;Muğla Bodrum
Panamera;Panamera Diesel;BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
911;Carrera 4S;"""BODRUM OTO"" 2006 PORSCHE 911 CARRERA 4S 355 HP 4WD";2006;98.500;Siyah;2.665.000 TL;07Mart2023;Muğla Bodrum
Panamera;Panamera Diesel;Porsche panemera diesel kusursuz en dolusu;2015;97.800;Beyaz;4.875.000 TL;13Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porsche panemera diesel kusursuz en dolusu;2015;97.800;Beyaz;4.875.000 TL;13Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porsche panemera diesel kusursuz en dolusu;2015;97.800;Beyaz;4.875.000 TL;13Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porsche panemera diesel kusursuz en dolusu;2015;97.800;Beyaz;4.875.000 TL;13Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porsche panemera diesel kusursuz en dolusu;2015;97.800;Beyaz;4.875.000 TL;13Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porsche panemera diesel kusursuz en dolusu;2015;97.800;Beyaz;4.875.000 TL;13Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porsche panemera diesel kusursuz en dolusu;2015;97.800;Beyaz;4.575.000 TL;13Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porsche panemera diesel kusursuz en dolusu;2015;97.800;Beyaz;4.575.000 TL;13Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.875.000 TL;06Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.875.000 TL;06Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.875.000 TL;06Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.875.000 TL;06Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.875.000 TL;06Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.875.000 TL;06Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.450.000 TL;06Nisan2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.550.000 TL;07Mart2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.550.000 TL;07Mart2023;İstanbul Bağcılar
Panamera;Panamera Diesel;Porshe panemera En dolusu;2015;97.500;Beyaz;4.550.000 TL;07Mart2023;İstanbul Bağcılar
911;Carrera 4;996 Carrera 4 Cabrio, Bayi Çıkışlı;2002;90.600;Siyah;2.050.000 TL;18Nisan2023;İstanbul Sarıyer
911;Carrera 4;996 Carrera 4 Cabrio, Bayi Çıkışlı;2002;90.600;Siyah;2.050.000 TL;18Nisan2023;İstanbul Sarıyer
911;Carrera 4;996 Carrera 4 Cabrio, Bayi Çıkışlı;2002;90.600;Siyah;2.050.000 TL;18Nisan2023;İstanbul Sarıyer
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;09Nisan2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;10Mart2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;10Mart2023;Ankara Çankaya
911;Carrera 4;Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK;2013;89.900;Füme;5.250.000 TL;10Mart2023;Ankara Çankaya
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;07Nisan2023;İstanbul Bağcılar
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;08Mart2023;İstanbul Bağcılar
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;08Mart2023;İstanbul Bağcılar
Cayman;Cayman;BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;İstanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;08Mart2023;İstanbul Bağcılar
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.825.000 TL;17Mart2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.695.000 TL;17Mart2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.695.000 TL;17Mart2023;İstanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ;2007;86.150;Lacivert;4.695.000 TL;17Mart2023;İstanbul Sarıyer
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;13Mart2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;13Mart2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE;2014;85.950;Füme;4.425.000 TL;13Mart2023;Ankara Etimesgut
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;İstanbul Kadıköy
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;İstanbul Kadıköy
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;İstanbul Kadıköy
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;İstanbul Kadıköy
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;İstanbul Kadıköy
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;23Nisan2023;İstanbul Beşiktaş
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
Cayman;Cayman;TERTEMİZ KUSURSUZ BAYİ;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;İstanbul Gaziosmanpaşa
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;İstanbul Beşiktaş
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.289.000 TL;11Nisan2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.289.000 TL;12Mart2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.289.000 TL;12Mart2023;İstanbul Ataşehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.289.000 TL;12Mart2023;İstanbul Ataşehir
Panamera;Panamera 4;BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.025.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.110.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.550.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.550.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.550.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.550.000 TL;17Nisan2023;Çorum Kargı
911;Carrera 4S;2011 PORSCHE CARRERA 4S PDK BOYASIZ 82.500KM TÜRKİYE DE TEK;2011;82.500;Siyah;4.300.000 TL;13Mart2023;İstanbul Beşiktaş
911;Carrera 4S;2011 PORSCHE CARRERA 4S PDK BOYASIZ 82.500KM TÜRKİYE DE TEK;2011;82.500;Siyah;4.300.000 TL;13Mart2023;İstanbul Beşiktaş
911;Carrera 4S;2011 PORSCHE CARRERA 4S PDK BOYASIZ 82.500KM TÜRKİYE DE TEK;2011;82.500;Siyah;4.300.000 TL;13Mart2023;İstanbul Beşiktaş
Panamera;Panamera 4;BAYii 2017 NOKTA HATASIZ BOYASIZ;2017;81.500;Siyah;7.050.000 TL;01Nisan2023;Çorum Kargı
